"","id","full_name","name","intelligence","strength","speed","durability","power","combat","alignment","place_birth","race","gender","eye_color","hair_color","height_cm","weight_lb","affiliations","relatives","occupation","publisher","image_url","height_in","hair_group"
"197","197","Douglas Aaron Ramsey","Cypher",NA,44,NA,NA,NA,NA,"good","Place of birth unknown",NA,NA,"Blue","Blond",175,150,"New Mutants","Phillip Ramsey (father), Sheila Ramsey (mother)","Student, Adventurer","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/168.jpg",68.897675,"Fair"
"198","198","Tandy Bowen","Dagger",63,10,35,42,52,70,"good","Shaker Heights, Ohio",NA,"Female","Blue","Blond",NA,116,"Cloak and Dagger, Defenders, League of Losers, Marvel Knights, New Warriors, Secret Avengers","Melissa Bowen (mother), unnamed father, Phillip Carlisle (stepfather), Father Michael Bowen (uncle)","Vigilante","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/51.jpg",NA,"Fair"
"199","199","","Danny Cooper",NA,NA,NA,NA,NA,NA,"good",NA,NA,"Male","Brown","Blond",0,NA,NA,NA,NA,"HarperCollins","https://www.superherodb.com/pictures2/portraits/10/100/1152.jpg",0,"Fair"
"200","200","Daphne Powell","Daphne Powell",38,10,8,10,56,10,"good",NA,NA,"Female",NA,NA,0,NA,NA,"Jim Powell and Stephanie Powell (parents), JJ Powell (brother)","Student","ABC Studios","https://www.superherodb.com/pictures2/portraits/10/100/1356.jpg",0,NA
"201","201","Matt Murdock","Daredevil",75,13,25,35,61,100,"good","New York City, New York","Human","Male","Blue","Red",183,200,"none; Formerly: partner of Black Widow (Natasha Romanoff), Defenders, S.H.I.E.L.D., Marvel Knights, Secret Avengers (Civil War), Hand leader.","Jonathan ""Battling Jack"" Murdock (Father, deceased), Maggie Murdock (aka Sister Maggie, Mother), Milla Donovan (ex-wife)","Adventurer, vigilante, Attorney at Law","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/52.jpg",72.047283,"Red"
"202","202","Christopher Powell","Darkhawk",50,32,33,70,74,64,"good","Queens, New York","Human","Male","Brown","Brown",185,180,"formerly Loners, New Warriors, Avengers West Coast (reservist), Secret Defenders (founder)","Michael Powell (father), Grace Powell (mother), Jonathon and Jason Powell (brothers)","Retired Superhero","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/53.jpg",72.834685,"Dark"
"203","203","Peyton Westlake","Darkman",75,14,23,85,12,28,"good",NA,NA,"Male",NA,NA,0,NA,NA,"Julie Hastings (girlfriend)","Scientist","Universal Studios","https://www.superherodb.com/pictures2/portraits/10/100/1126.jpg",0,NA
"204","204","Uxas","Darkseid",88,100,83,100,100,95,"bad",NA,"New God","Male","Red","No Hair",267,1815,"New Gods of Apokolips(ruler), Secret Society of Supervillains","Zonuz (father), Izaya (brother), Avia (sister, deceased), Grail (daughter), Kalibak (son), Orion (son), Deathspawn (son), Scot (nephew/adopted son)","Dictator of Apokolips","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/668.jpg",105.118167,"None"
"205","205","","Darkside",NA,NA,NA,NA,NA,NA,"bad",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"https://www.superherodb.com/pictures2/portraits/10/100/840.jpg",0,NA
"206","206","Laynia Petrovna","Darkstar",38,8,35,42,79,64,"good","Minks, USSR","Mutant","Female","Brown","Blond",168,125,"(at death)X-Corps (formerly) Champions, Winter Guard, Soviet Super Soldiers","Nicolai Krylenko a.k.a. Vanguard (brother), Sergi Krylov a.k.a. The Presence (father), Marya Krylova (mother, deceased)","Occupation unknown","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/169.jpg",66.141768,"Fair"
"207","207","","Darth Maul",56,48,50,30,100,100,"bad","Dathomir","Dathomirian Zabrak","Male","Yellow / Red",NA,170,NA,NA,"Darth Sidious (Master)",NA,"George Lucas","https://www.superherodb.com/pictures2/portraits/10/100/10464.jpg",66.92917,NA
"208","208","Anakin Skywalker","Darth Vader",69,48,33,35,100,100,"bad","Tatooine","Cyborg","Male","Yellow","No Hair",198,300,"Sith, Galactic Empire","Luke Skywalker (Son), Princess Leia (Daughter)","Sith Lord, Supreme Commander of the Imperial Fleet","George Lucas","https://www.superherodb.com/pictures2/portraits/10/100/10444.jpg",77.952798,"None"
"209","209","Dashiell Robert Parr","Dash",25,12,92,60,20,30,"good",NA,"Human","Male","Blue","Blond",122,60,"Incredible Family (genetic member), National Supers Agency (ties), Edna Mode (receives costumes and gadgets from her), Frozone (long-time friend), Mirage (ally)","Robert Parr (Mr Incredible, father), Helen Parr (Elastigirl, mother), Violet Parr(Violet, sister), , Jack-jack (brother)",NA,"Dark Horse Comics","https://www.superherodb.com/pictures2/portraits/10/100/824.jpg",48.031522,"Fair"
"210","210","Data","Data",100,32,21,40,56,50,"good",NA,"Android","Male","Yellow","Brown",0,NA,NA,"Dr. Noonian Soong (creator)","Lieutenant commander","Star Trek","https://www.superherodb.com/pictures2/portraits/10/100/10577.jpg",0,"Dark"
"211","211","Alison Blaire","Dazzler",63,10,33,60,100,55,"good","Gardendale, Long Island, New York","Mutant","Female","Blue","Blond",173,115,"Formerly Excalibur, X-Babies (guardian), Mojoverse Rebellion, X-Men, Cat's Laughing, Gladiators","Bella Blaire (paternal grandmother), Carter Blaire (father, deceased), Katherine Blaire-Brown (Barbara London, mother), Nicholas Brown (step-father), Lois London (half-sister), Longshot (husband)","Adventurer, singer, former actress, model, revolutionary","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1043.jpg",68.110273,"Fair"
"212","212","Boston Brand","Deadman",50,10,33,100,100,42,"good",NA,"Human","Male","Blue","Black",183,201,"White Lantern Corps, formerly Sentinels of Magic, Seven Soldiers of Victory, Justice League of Apostles","Cleveland Brand (twin brother, deceased), Lita Brand (niece), Unnamed parents","Wandering Spirit, Former Circus Aerialist","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1472.jpg",72.047283,"Dark"
"213","213","Wade Wilson","Deadpool",69,32,50,100,100,100,"neutral","Canada","Mutant","Male","Brown","No Hair",188,210,"Thunderbolts (Strike Team), shares body with Agent Preston; formerly X-Force, Deadpool Corps, Agency X, S.H.I.E.L.D.; Code Red, Six Pack, One World Church, DP Inc., Weapon X, Weapon Plus, Heroes for Hire, Secret Defenders, Frightful Four, Team Deadpool, L","Thomas ""Mickey"" Wilson (father, deceased); Hailey Wilson (mother, deceased); Gretchen Wilson, Orksa (ex-wives); Evil Deadpool (clone); Widdle Wade (clone)","Mercenary; former enforcer, government operative, sumo wrestler, soldier, assassin, anti-hero, others","Evil Deadpool","https://www.superherodb.com/pictures2/portraits/10/100/835.jpg",74.015788,"None"
"214","214","Floyd Lawton","Deadshot",50,10,23,28,55,80,"bad",NA,"Human","Male","Brown","Brown",185,202,NA,NA,NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/670.jpg",72.834685,"Dark"
"215","215","Luther Manning","Deathlok",69,32,30,70,40,60,"good",NA,"Cyborg","Male","Brown","Grey",193,395,"Former member of the CIA, Project: Alpha-Mech, US Army, ally of Godwulf's Redeemers","Janice (Wife, seperated), Richard (son)",NA,"Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1304.jpg",75.984293,"Fair"
"216","216","Slade Joseph Wilson","Deathstroke",75,30,35,100,47,90,"neutral",NA,"Human","Male","Blue","White",193,225,"The Society, Titans; Formerly Tartarus, The Injustice League","Wade LaFarge (Ravager III, half-brother, deceased), Adeline Kane (ex-wife, deceased), Grant Wilson (Ravager I, son, deceased), Joseph Wilson (Jericho, son), Rose Wilson (Ravager IV, daughter)","Mercenary; Former Soldier, Big-Game Hunter","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/672.jpg",75.984293,"Fair"
"217","217","","Demogoblin",50,48,42,35,67,60,"bad",NA,"Demon","Male","Red","No Hair",185,210,NA,NA,"Demonic Redeemer","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1515.jpg",72.834685,"None"
"218","218","","Destroyer",50,95,58,98,85,70,"bad","Created in Asgard",NA,"Male",NA,NA,188,850,NA,NA,NA,"Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1294.jpg",74.015788,NA
"219","219","Willis Stryker","Diamondback",44,16,23,28,45,60,"bad",NA,"Human","Male","Brown","Black",193,200,"Syndicate, formerly Bloods",NA,"Criminal","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1404.jpg",75.984293,"Dark"
"220","220","Daniel Lawrence Hawkins","DL Hawkins",50,12,12,56,48,56,"good",NA,NA,"Male",NA,NA,0,NA,NA,"Niki Sanders (wife), Micah Sanders (son), Paulette Hawkins (mother), Monica Dawson (cousin), Damon Dawson (cousin)","Construction worker, Firefighter","NBC - Heroes","https://www.superherodb.com/pictures2/portraits/10/100/943.jpg",0,NA
"221","221","Leonard Samson","Doc Samson",75,80,33,80,36,70,"good","Tulsa, Oklahoma","Human / Radiation","Male","Blue","Green",198,380,NA,"Leonard Skivorski (father); Ricky Myers (son);","Psychiatrist, teacher, adventurer, former special consultant to Gamma Base","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/54.jpg",77.952798,"Alternative"
"222","222","Victor von Doom","Doctor Doom",100,32,20,100,100,84,"bad","Haasenstadt, Latveria","Human","Male","Brown","Brown",201,415,"Future Foundation; Formerly Cabal, Knights of the Atomic Table, Acts of Vengeance Prime Movers, partner of Namor, employer of the Terrible Trio, Fantastic Four (leader)","Werner von Doom (father, deceased), Cynthia von Doom (mother, deceased); Kang the Conqueror, his counterparts, and offspring (alleged descendants), Kristoff Vernard (Doctor Doom II, adopted son), Dr Bob Doom (distant cousin), Boris (unofficially adoptive father/guardian), Valeria von Doom (daughter from alternate universe; became baby of Susan Richards and is now called Valeria Richards)","Monarch","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/189.jpg",79.133901,"Dark"
"223","223","Kristoff Vernard","Doctor Doom II",NA,NA,NA,NA,NA,NA,"bad","Doomstadt, Latveria",NA,"Male","Brown","Brown",201,293,NA,"unnamed mother (deceased), Mister Fantastic (alleged half-brother), Valeria Richards (alleged niece), Victor von Doom (aka Doctor Doom, adopted father)",NA,"Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1018.jpg",79.133901,"Dark"
"224","224","Kent Nelson","Doctor Fate",81,16,25,80,100,50,"good",NA,"Human","Male","Blue","Blond",188,197,"Formerly All-Star Squadron, Justice Society of America, Justice League International, Black Lantern Corps","Inza Cramer (wife), Sven Nelson (father, deceased), Celestine Babcock (mother), Kent Nelson, Jr. (son), Aaron Babcock (uncle), Kent V. Nelson (grand-nephew), Laryn Nelson (great grand-niece)",NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/676.jpg",74.015788,"Fair"
"225","225","Otto Octavius","Doctor Octopus",94,48,33,40,53,65,"bad","Schenectady, New York","Human","Male","Brown","Brown",175,245,"Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin",NA,"Former atomic-research consultant, criminal mastermind","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/622.jpg",68.897675,"Dark"
"226","226","Stephen Strange","Doctor Strange",100,10,12,84,100,60,"good","Philadelphia, Pennsylvania","Human","Male","Grey","Black",188,180,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)","Sorcerer Supreme, retired neurosurgeon","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/55.jpg",74.015788,"Dark"
"227","227","Neena Thurman","Domino",63,10,27,28,49,74,"good","Project: Armageddon base, Everglades, Florida","Human","Female","Blue","Black",173,120,"X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack","Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",NA,"Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/902.jpg",68.110273,"Dark"
"228","228","","Donatello",88,14,46,60,58,75,"good",NA,"Mutant","Male","Green","No Hair",0,NA,NA,"Leonardo (brother), Michelangelo (brother), Raphael (brother)",NA,"IDW Publishing","https://www.superherodb.com/pictures2/portraits/10/100/10330.jpg",0,"None"
"229","229","Donna Hinckley Stacey Troy","Donna Troy",NA,89,NA,NA,NA,NA,"good",NA,"Amazon","Female","Blue","Black",175,140,"Titans of Myth, Teen Titans, Darkstars",NA,NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/806.jpg",68.897675,"Dark"
"230","230","Doomsday","Doomsday",75,100,67,100,100,90,"bad","Krypton","Alien","Male","Red","White",244,915,"Secret Society of Super Villains, Suicide Squad, Apokolips",NA,"Destroyer","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/679.jpg",96.063044,"Fair"
"231","231","","Doppelganger",8,63,60,95,69,84,"bad","The Dimension of Manifestations",NA,"Male","White","No Hair",196,230,"Formerly Carnage Family; Magus' doppelgangers; operative of Demogoblin","Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)",NA,"Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1320.jpg",77.165396,"None"
"232","232","Dormammu","Dormammu",88,95,83,100,100,80,"bad","Faltine Dimension",NA,"Male","Yellow","No Hair",185,NA,"Lords of the Splinter Realms, Lords of the Netherworlds; allied with Umar, Loki, Doctor Doom, Underchild, others","Sinifer (parent/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)","Despot, conqueror","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1359.jpg",72.834685,"None"
"233","233","Jonathan Osterman","Dr Manhattan",88,100,42,100,100,42,"good",NA,"Human / Cosmic","Male","White","No Hair",0,NA,"Watchmen, Crimebusters",NA,"Scientist","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/884.jpg",0,"None"
"234","234","Arthur Sampson Douglas","Drax the Destroyer",56,80,25,85,46,65,"good","Burbank, California","Human / Altered","Male","Red","No Hair",193,680,"Guardians of the Galaxy; formerly Infinity Watch, Secret Defenders, United Front, Selects of the Phalanx","Yvette Steckley Douglas (wife, deceased), Heather Douglas (aka Moondragon, daughter), Pamela Douglas (aka Sundragon, niece), Cammille Benally (foster daughter), Venom (former symbiote)",NA,"Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/10016.jpg",75.984293,"None"
"235","235","Ego","Ego",88,80,83,99,71,28,"bad","The Black Galaxy",NA,NA,NA,NA,0,NA,NA,"Inapplicable","Inapplicable","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/6.jpg",0,NA
"236","236","Helen Parr","Elastigirl",63,32,33,95,52,70,"good",NA,"Human","Female","Brown","Brown",168,125,"Incredible Family (co-leader), National Supers Agency (ties), Edna Mode (receives costumes and gadgets from her), Frozone (long-time friend), Mirage (ally), Snug Porter (receives aircraft from him)","Robert Parr(Mr Incredible, husband), Violet Parr(Violet, daughter), Dashiell Parr (Dash, son), Jack-jack (son)",NA,"Dark Horse Comics","https://www.superherodb.com/pictures2/portraits/10/100/870.jpg",66.141768,"Dark"
"237","237","Maxwell Dillon","Electro",69,10,50,56,67,64,"bad",NA,"Human","Male","Blue","Auburn",180,165,"Sinister Six formerly Emissaries of Evil, Frightful Four and Sinister Twelve","Norma Lynn Dillon (ex-wife), Jonathan Dillon (father, deceased), Anita Dillon (mother, deceased)","Professional criminal","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/7.jpg",70.86618,"Red"
"238","238","Elektra Natchios","Elektra",63,11,30,28,59,100,"good",NA,"Human","Female","Blue","Black",175,130,"S.H.I.E.L.D.; formerly Thunderbolts, Hand, Chaste, Heroes For Hire, Code Red, partner of Daredevil and Deadpool","Hugo Kostas Natchios (father, deceased), Christina Natchios (mother, deceased), Orestez Natchios (older brother), Demetrios Natchios (Uncle), Alexia Natchios (Aunt)","Assassin, adventurer, mercenary, former student, dancer","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/625.jpg",68.897675,"Dark"
"239","239","","Elle Bishop",50,8,12,42,63,42,"bad",NA,NA,"Female","Blue","Blond",0,NA,NA,"Bob Bishop (Father)","Agent of the Company","NBC - Heroes","https://www.superherodb.com/pictures2/portraits/10/100/1021.jpg",0,"Fair"
"240","240","Ralph Dibny","Elongated Man",75,10,33,90,44,40,"good",NA,NA,"Male","Blue","Red",185,178,"Justice League of America, Justice League Europe, Super Buddies, Outsiders, Croatoans, Black Lantern Corps","Sue Dibny (wife, deceased); Ken Dibny (brother); Jake Dibny (uncle); Jim (uncle-in-law)","Detective","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1381.jpg",72.834685,"Red"
"241","241","Emma Frost","Emma Frost",75,63,35,90,100,42,"good","Boston, Massachusetts",NA,"Female","Blue","Blond",178,144,"Active member of the X-Men, Instructor for Generation X, The Inner Circle of the Hellfire Club","Winston Frost (father), Hazel Frost (mother), Christian Frost (brother) Adrienne Frost (sister, deceased,) Cordelia Frost (sister)",NA,"Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/325.jpg",70.078778,"Fair"
"242","242","June Moone","Enchantress",63,14,25,60,100,40,"good",NA,"Human","Female","Blue","Blond",168,126,"Forgotten Villains, Sentinels of Magic, Shadowpact, Suicide Squad",NA,"Artist; Magician","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/687.jpg",66.141768,"Fair"
"243","243","","Energy",NA,NA,NA,NA,NA,NA,"good",NA,NA,"Female",NA,NA,0,NA,NA,NA,NA,"HarperCollins","https://www.superherodb.com/pictures2/portraits/10/100/1155.jpg",0,NA
"244","244","","ERG-1",NA,NA,NA,NA,NA,NA,"good",NA,NA,"Male",NA,NA,0,NA,NA,NA,NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1187.jpg",0,NA
"245","245","Ethan Hunt","Ethan Hunt",75,11,29,30,26,95,"good","Madison, Wisconsin, United States of America","Human","Male","Brown","Brown",168,NA,"Formerly: United States Army","Nathan Hunt (Father), Margaret Hunt (Mother), Donald Hunt (Uncle)","IMF Agent, Training Officer (former), Field Agent, Field Team Leader",NA,"https://www.superherodb.com/pictures2/portraits/10/100/10476.jpg",66.141768,"Dark"
"246","246","Jason Blood","Etrigan",50,85,17,100,100,50,"neutral","Hell","Demon","Male","Red","No Hair",193,452,"Formerly Justice League of America, Spirit Squad","Belial (father), Raan va Daath (mother), Merlin (half Brother)",NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/10429.jpg",75.984293,"None"
"247","247","Wade Wilson","Evil Deadpool",69,32,50,100,100,100,"bad",NA,"Mutant","Male","White","Red",188,210,"Evil Deadpool Corps",NA,"Mercenary, Assasin","Deadpool","https://www.superherodb.com/pictures2/portraits/10/100/10090.jpg",74.015788,"Red"
"248","248","Dargin Bokk","Evilhawk",50,32,33,70,85,64,"bad",NA,"Alien","Male","Red","Black",191,235,NA,NA,"Crimelord","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1516.jpg",75.196891,"Dark"
"249","249","Bennet du Paris","Exodus",63,81,28,28,100,70,"bad",NA,"Mutant","Male","Blue","Black",183,195,"Acolytes, formerly Brotherhood and Marauders",NA,"Terrorist, would-be conqueror, Former leader of the Acolytes, Crusader","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1517.jpg",72.047283,"Dark"
"250","250","Fabian Cortez","Fabian Cortez",NA,NA,NA,NA,NA,NA,"bad","Place of birth unknown",NA,NA,"Blue","Brown",196,214,"Acolytes at time of death; Formerly Upstarts","Annemarie Cortez (sister, deceased)","Unknown","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/24.jpg",77.165396,"Dark"
"251","251","Sam Wilson","Falcon",38,13,50,28,22,64,"good","New York, New York","Human","Male","Brown","Black",188,240,"Mighty Avengers, Avengers, S.H.I.E.L.D.; partner of Redwing; formerly Heroes For Hire, partner of Captain America, Secret Avengers, S.H.I.E.L.D. Super-Agents (leader), Defenders, ally of Secret Warriors , Defenders for a Day","Paul Wilson (father, deceased); Darlene Wilson (mother, deceased); Sarah Wilson (sister), Gideon Wilson (brother); Jim Wilson (nephew, deceased); Jody Casper (nephew)","Crimefighter, (former) freelance artist","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/56.jpg",74.015788,"Dark"
"252","252","","Fallen One II",88,85,83,100,100,56,"bad",NA,NA,"Male","Black","Blue",0,NA,"Heralds of Galactus",NA,NA,"Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1051.jpg",0,"Alternative"
"253","253","Faora Hu-Ul","Faora",88,95,75,100,98,90,"bad",NA,"Kryptonian","Female",NA,NA,0,NA,"Phantom Zone Criminals","Hu-Ul (father, presumably deceased)","Serial killer","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1502.jpg",0,NA
"254","254","Maria Callasantos","Feral",38,28,45,28,27,70,"good","Place of birth unknown",NA,NA,"Yellow (Without Irises)","Orange / White",175,110,"Formerly Morlocks, X-Force, Mutant Liberation Front","Mr. Callasantos (father, first name unrevealed, deceased), Marcella Callasantos (mother, deceased), Lucia Callasantos (Thornn, sister), Matteo Callasantos (brother, deceased), Carolina Callasantos (sister, deceased)","Formerly Adventurer, Terrorist","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/57.jpg",68.897675,"Fair"
"255","255","Carol Carter","Fighting Spirit",NA,NA,NA,NA,NA,NA,"good",NA,NA,"Female",NA,"Red",0,NA,"Fighting Yank I, SMASH","Bruce Carter (father)",NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1167.jpg",0,"Red"
"256","256","","Fin Fang Foom",50,81,23,100,75,70,"good",NA,"Kakarantharaian","Male","Red","No Hair",975,40000,"Affiliation ""Fin Fang Four,"" former ally of the Mandarin, pawn of Doctor Vault, member of starship crew","Fraktur (cousin)",NA,"Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1518.jpg",383.858475,"None"
"257","257","Bonita Juarez","Firebird",38,8,40,14,100,42,"good","Buena Vista, New Mexico",NA,"Female","Brown","Black",165,125,"Catholic Church; formerly the Rangers, provisional member of the Avengers West Coast, Queen's Vengeance",NA,"Social worker, adventurer","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/58.jpg",64.960665,"Dark"
"258","258","Pyreus Kril","Firelord",38,63,75,90,52,28,"good","Xander, planet in Tranta System, Andromeda Galaxy",NA,NA,"White","Yellow",193,220,"Formerly Nova Corps, Guardians of the Galaxy (in an alternate future)",NA,"Former starship captain, former herald of Galactus","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/59.jpg",75.984293,"Fair"
"259","259","Angelica Jones","Firestar",50,8,54,55,71,32,"good","Place of birth unknown","Mutant","Female","Green","Red",173,125,"New Warriors Reservist, Avengers Reservist, and Former Hellion and student of the White Queen","Bartholomew Jones (father), Nana (grandmother)","Student","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/60.jpg",68.110273,"Red"
"260","260","Jason Rusch","Firestorm",50,53,58,56,100,42,"good",NA,NA,"Male","Brown","Black",0,NA,"Justice League of America, formerly Lexcorp","Alvin Rusch (father)","University student; former food server at Bryson's Family Treat; former mascot at Ho-Ho Charlie's Chicken Shack; former intern at S.T.A.R. Labs","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/689.jpg",0,"Dark"
"261","261","Ronald Raymond","Firestorm",38,80,58,80,100,40,"good",NA,"Human","Male","Blue","Auburn",188,202,"Firestorm Matrix, Justice League,formerly Black Lantern Corps, Power Company, White Lantern Corps","Edward Raymond (father); Elaine Rockwell (mother, deceased); Felicity Smoak-Raymond (stepmother); Richard Dare (grandfather)","Adventurer; former employee of Bun 'n Run","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/10395.jpg",74.015788,"Red"
"262","262","Paul Norbert Ebersol","Fixer",NA,NA,NA,NA,NA,NA,"bad","Dayton, Ohio",NA,NA,"Red","No Hair",0,NA,"formerly Thunderbolts, Redeemers","No known relatives","Criminal inventor","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/9.jpg",0,"None"
"263","263","Jay Garrick","Flash",63,10,100,50,68,32,"good","Hibbardsville, Kansas","Human","Male","Blue","Brown / White",180,179,"Justice Society of America, Flash Family; formerly All-Star Squadron","Joseph Garrick (father), Joan Williams (wife), Arthur Williams (father-in-law), unnamed adopted son (deceased), Bart Allen (Flash II, ward)","Research Scientist, part-time Director of Garrick Laboratories","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/891.jpg",70.86618,"Dark"
"264","264","Steven Gordon","Flash Gordon",NA,69,NA,NA,NA,NA,"good",NA,NA,"Male",NA,NA,0,NA,NA,NA,NA,NA,"https://www.superherodb.com/pictures2/portraits/10/100/1345.jpg",0,NA
"265","265","Barry Allen","Flash II",88,48,100,60,100,60,"good","Fallville, Iowa","Black Racer","Male","Blue","Blond",183,195,"Flash Family, Justice League of America; formerly Blue Lantern Corps","Henry and Nora (parents), Malcolm Thawne (twin), Iris West Allen (wife), Wally West (Flash III, nephew), Don and Dawn Allen (son and daughter), Bart Allen (Flash IV, grandson), Jenni Ognats (granddaughter)","Forensic Scientist","Black Racer","https://www.superherodb.com/pictures2/portraits/10/100/892.jpg",72.047283,"Fair"
"266","266","Wally West","Flash III",63,10,100,60,100,32,"good","Blue Valley, Nebraska","Human","Male",NA,NA,183,190,"Flash Family, Justice League of America, Titans; formerly Teen Titans","Rudolph and Mary West (parents), Ira West (grandfather), Iris Allen (aunt), Barry Allen (Flash II, uncle), Linda Park West (wife), Jai and Iris West (twin children)","Adventurer, Mechanic for the KCPD","Speed Demon","https://www.superherodb.com/pictures2/portraits/10/100/690.jpg",72.047283,NA
"267","267","Bartholomew Allen II","Flash IV",63,10,100,32,100,48,"good",NA,"Human","Male","Yellow","Auburn",157,115,"Flash Family, Teen Titans, Legion of Super-Heroes; formerly Young Justice","Barry Allen (Flash II, grandfather), Iris West Allen (grandmother), Don Allen (father), Meloni Thawne (mother), President Thawne (grandfather), Dawn Allen (aunt), Jenni Ognats (cousin), Thaddeus Thawne (clone), Owen Mercer (half-brother), Max Crandall (guardian)","Police trainee","Impulse","https://www.superherodb.com/pictures2/portraits/10/100/893.jpg",61.811057,"Red"
"268","268","","Forge",63,10,12,28,25,48,"good","Unrevealed, presumably in the American West",NA,NA,"Brown","Black",183,180,"X-Factor",NA,"Inventor working for the U.S. government, former soldier","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/62.jpg",72.047283,"Dark"
"269","269","Franklin  Richards","Franklin Richards",63,80,50,60,100,50,"good","New York, New York","Mutant","Male","Blue","Blond",142,100,"Future Foundation; formerly Power Pack, Generation X, Daydreamers","Reed Richards (Mister Fantastic, father), Susan Storm Richards (Invisible Woman, mother), Valeria Richards (sister), Jonathan Storm (Human Torch, uncle), Nathaniel Richards (paternal grandfather), Franklin Storm (maternal grandfather, deceased), Evelyn Richards, Mary Storm (grandmothers (paternal and maternal respectively), deceased), Benjamin J. Grimm (Thing, godfather), Alicia Masters (godmother).","Student","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/63.jpg",55.905542,"Fair"
"270","270","Dr. Franklin Storm","Franklin Storm",38,10,1,1,0,10,"good","Place of birth unknown",NA,NA,"Blue","Grey",188,205,NA,"Mary Storm (wife, deceased), Susan Storm Richards (Invisible Woman, daughter), Jonathan Storm (Human Torch, son), Franklin Richards (grandson), Reed Richards (Mister Fantastic, son-in-law)","Surgeon","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/170.jpg",74.015788,"Fair"
